"","X1562921_at","X237154_at","X214705_at","X222616_s_at","X206799_at","X202844_s_at","X236007_at","X238054_at","X237326_at","X213568_at","X226120_at","X1554628_at","X1553286_at","X1560750_at","X201430_s_at","X212328_at","X209234_at","X215660_s_at","X212007_at","X231828_at","X1552754_a_at","X203765_at","X242352_at","X1570515_a_at","X206896_s_at","X223620_at","X209088_s_at","X211538_s_at","X238062_at","X205968_at","X201030_x_at","X225381_at","X238723_at","X221590_s_at","X206030_at","X207284_s_at","X205932_s_at","X1557553_at","X235313_at","X1557167_at","X207058_s_at","X202876_s_at","X225921_at","X222457_s_at","X219568_x_at","X208859_s_at","X235129_at","X232312_at","X223200_s_at","X225245_x_at","X210094_s_at","X212588_at","X212332_at","X211715_s_at","X1558924_s_at","X235225_at","X201867_s_at","X212758_s_at","X207349_s_at","X206240_s_at","X229586_at","X234018_s_at","X201635_s_at","X224579_at","X236193_at","X215104_at","X223269_at","X214464_at","X209205_s_at","X227088_at","X244463_at","X209258_s_at","X202549_at","X202611_s_at","X224747_at","X225173_at","X226651_at","X200616_s_at","X202909_at","X203386_at","dataY"
"31",3.30357424285458,6.69080432276204,4.31114888991762,7.2748618944782,6.21068446787562,7.21192650303416,5.8186609236041,8.89739637477769,5.17627006010817,4.83776387203756,4.0109987650238,4.24751695345707,5.09716554261582,7.47192613677639,5.67958480072889,10.1159884094696,7.50679685003222,7.26647354884706,8.10307121414593,5.48083883904754,4.45641656938509,3.85119499342534,6.22146005592299,6.04382156300233,6.9437877083189,3.74800251721141,6.66448304481265,10.0188817052218,7.47643567728154,8.76285897106778,10.6771781919871,4.33921246757949,4.33309138141603,4.93909292758511,7.44494722751494,8.17312999085731,5.74197192895639,5.53205946646372,11.4821426857022,3.78424800574406,5.78531615006208,6.96123649637286,7.12142773276813,4.71792073016362,4.96376394643605,5.07899794313887,9.08517200001995,6.18508981313187,5.867749102319,8.52354551214357,6.67660339862979,4.12331322579088,6.23058389124619,7.21890950326731,8.09862295960147,4.380151250333,4.70879289148719,7.39312173096156,9.37782770875326,5.96022062754173,6.70517259851232,4.63870603068066,10.8109563843857,6.49572073170256,6.39789975830257,6.03892911044923,8.49940935324281,4.93717776450388,7.30874765831687,6.6428921822246,4.41762020534417,4.97609718757246,5.14567000108035,5.70837771150967,6.19078145755788,5.04119931606366,7.92370381877181,7.14529950711254,8.73799446955647,8.41171838640238,"0"
"15",3.80010497247925,7.29993912461324,5.02392738024625,6.2057035226475,5.22261838287585,6.9577501479511,5.67765356822414,8.23706049892684,5.85825906050928,5.11548128527227,3.93701998169092,3.97492260098407,4.83417888731841,8.28346547164118,5.01432572706548,10.2643505592691,6.01425374485513,6.42853731581537,7.43206366931665,4.39240681884323,4.56179785364697,3.81712768277903,5.0796976237131,4.90408527003595,6.38598512466505,3.93967860837238,6.78093891063503,9.86564831127768,6.8164134991052,8.61457841748268,10.638365139349,4.58553184301838,4.69530008705506,6.25086786671557,6.51206406786539,7.36855141522565,5.90491356432183,5.48579226103725,7.27712470805346,4.08500458136003,4.5603946535292,6.37596919378692,6.62523456662201,4.24048647759075,4.52950388537599,5.75066995045008,9.00358253726606,6.1191592352734,6.04561759197261,8.16536446593027,7.22215393817807,5.06957296925874,6.64522633314304,7.33157135829124,6.01153221612446,4.46826141056782,5.02727826283371,7.01563392893781,7.06986379782311,6.89034376007311,6.36351846551025,4.85650199879102,9.79833665215937,5.71376510467725,4.97080602755289,5.89712095847036,8.58010003594494,3.92472240904973,6.5251619287696,6.99646730875266,5.14430080001104,4.59463330692437,5.33696374281872,6.56312575293021,6.61218054842492,4.49184384269456,7.72268358584711,7.33220999208258,8.12777762536528,9.09105969104252,"0"
"14",3.42910267243017,6.79730146834665,4.61053434441153,6.97704886644095,5.18156171361173,6.9839466905667,5.46765758958767,8.36233862758195,5.03543971384481,4.72128443433547,3.91604783252517,4.48157742908041,5.10374018982727,8.46189531753621,5.48326225560109,10.0373322406691,6.80400369181574,7.12812131345294,7.96363843353547,4.44655781419789,3.89895833845089,3.94981738994846,5.77806002109627,6.66612117755206,6.8599867126278,4.26976999725245,6.973666391814,10.684885938413,7.32862116941823,7.92546428922937,9.83143839912329,4.00958646111058,4.32022732657953,4.81967295390398,6.74571284142531,7.21821129920625,6.00274815336503,6.26694311096154,10.377508053507,3.50688383210491,4.86450921591417,6.8303265654441,6.68206522217032,4.88202561177037,5.03226905064716,6.30471073255983,8.56879734352375,5.72967651066698,5.42070746873607,7.86640898722686,6.88922897766557,4.7976465409584,6.38555054677045,7.01920292002329,7.37010570252461,4.65156931558612,4.72590604051817,7.10304467773192,7.02458558566122,6.13729640537027,6.6252438250041,4.58249881080876,10.4713584065351,6.434112044805,5.01559238090846,5.6765537885885,8.04754569406094,5.34154367508171,6.45773285833283,6.70022436630934,4.77178851723428,5.21903253876536,5.47682458966995,6.46881861526385,6.02437873408302,5.31890806328508,7.88732883657332,6.97014560221236,8.5973733082426,8.6070439098132,"0"
"3",3.48521456618967,6.87543844632365,4.46671179382529,7.00632679262871,5.09033161614508,6.73282281200714,5.66610880349635,8.50662950253347,6.45887312684382,4.76895568709032,4.24078434779469,4.10463860548259,5.66435201052205,8.28445865588881,5.20751082143284,10.2313297392571,6.78741431576353,6.87828158588991,7.85610260839952,5.14934848495754,4.38260632977359,3.89681135747481,5.74050572023482,5.93602857043455,6.5820891540147,4.74626133227684,6.83177656252618,10.4935954976018,7.6300988523833,8.26409875913406,10.7921054638481,4.25360867761102,4.73496083510805,5.78935681208585,7.0945362467507,7.70115904384329,6.42361279625205,6.07886109487564,8.70076702218539,3.80202054446597,5.10447758505833,6.88665424930805,7.16206358204565,5.76903523345466,4.96670246412017,5.93935205778469,8.85626439594787,6.01551958181716,5.47845527353759,8.11118403830424,6.77533695128232,4.95231360020236,6.27173055094542,7.15567396211138,7.74316323587296,5.30533233167326,4.83618336354365,7.14539167386083,8.24044073056434,6.23936347977222,7.02900722185369,4.09452963999977,10.1676754903227,6.98917572866354,4.95205178185451,6.18356945439594,8.65054995994243,4.84610096588377,6.71574354034712,7.75432836198812,4.13418501072456,5.52418453388068,4.96979214703455,6.12150044144467,6.9282223954417,5.39050962215921,8.17382578885569,6.95354081514806,8.41998060765933,8.59874069962075,"0"
"42",3.28931599099167,7.24482354229842,5.92892877430791,7.65601584601081,4.99206843602407,8.17249219477394,5.97727830480995,9.06358356726395,6.62756036626697,4.35455249174846,4.44139038325782,3.99316187447872,4.42691211437685,9.31592364552009,5.7891789019342,10.5061144552792,7.69689953178655,6.78643106002043,8.4448608392263,5.46654572799601,4.20850175573216,3.71358849284583,6.3486982302264,7.58483185100491,6.45818470183931,4.39546502366474,7.71007247286252,10.7459698715046,7.16191047448821,8.9453354949615,9.70273331186286,4.26354595987943,4.92077203097041,5.21971113137816,7.54152258958931,8.13745882248141,5.68187292042436,7.35432256938505,10.8103635723818,4.00938629273999,5.86393767354579,7.28241462752447,8.0510143283309,5.56472188847013,4.85146700522029,6.9378300208293,9.46344951656324,6.13730530287938,6.13788060493484,8.54543459654152,7.42844044492397,4.45912267087447,6.27871532127479,6.54889905229338,8.14571269053532,4.74171259081808,5.13837160544561,8.21806116397709,9.08935738885526,6.18088056245786,7.00324147125801,4.4762908571948,10.8979963659105,5.85888498391127,5.99523600588641,5.31979463270229,8.9382620283572,5.86348318863301,7.68238639480822,7.98388881813019,4.87130170015129,5.58827447116815,6.01767865913598,6.63063339321698,7.97331274005248,6.03311327718831,8.89047516254344,7.72655885678868,8.70039975161329,8.97930483451822,"0"
"37",3.96328451022588,7.26220084837276,4.319830738919,7.41671191075247,5.91233017564226,6.95198873097463,5.58423501008779,8.46704991833295,6.62537259634079,5.0238975425608,4.26994039885776,4.06752507549015,4.85991700901784,7.94716053541529,6.31649087269065,9.00998436566983,7.00454757256245,7.24888786430751,8.52117212776652,5.32722456414866,4.11068873848485,3.83144976846844,7.26038928821774,6.82203385175583,6.92669704463542,4.40219928525775,7.73111084540613,10.4220163802172,7.46086692533138,9.27617859179397,11.0679870343762,4.11289117215471,4.01656615542441,5.75415323669147,7.42021595326263,7.89572581687187,6.4499422130926,7.64431872752735,11.7132414181089,3.59294159115901,5.19979698075764,7.24263182388308,6.90000640705253,4.82687237773021,4.83187289835174,5.98267457065593,9.30096149766811,5.60865332087679,5.87493842991265,8.25840392186737,7.40800547790686,4.63794025099724,6.43940769907083,7.44841851617017,8.85905583090206,5.54706368782187,5.17993181672237,7.89694100515248,8.28549208677152,5.68782543081234,6.74592796077922,4.67136949158572,10.585636795622,4.42540244126858,5.15755531867164,5.72647979498356,8.59922085051477,6.68163341484036,7.28727145992039,6.58862524018245,3.84358284393169,5.02177211613012,6.4665017599955,5.66134292015722,6.51775072989728,6.98613469062861,7.63473294878639,7.89380376149245,7.69844369709348,7.82640333407119,"0"
"45",4.26165726722864,7.27229196922681,4.56211182960571,7.94663319620459,6.74831715594979,8.46531979497589,6.25823008722543,8.7018994844936,5.64113205687441,5.22299662593457,4.48909559364124,4.27539798954707,5.57604933561875,8.85110376471508,6.15009003125502,9.94160563083049,7.52031339283002,6.41928807426639,8.81469041200561,4.3458721260529,4.74308692479426,4.19676852472079,5.87723230935587,7.56081496152545,7.41718302978557,3.88361882756544,7.38901256892622,10.5154786112928,7.62414223290784,9.18036651473956,11.096837467932,4.13676890955891,5.00150007684518,5.88638572510653,8.32340195055209,8.34847679237088,6.18749447404552,5.78557840066861,11.5262095587256,4.15356194708034,5.86001606566069,7.5105343234755,8.18778470818796,5.65731671347637,5.87509668426429,5.72228708665875,9.28474726704466,6.44372096664903,6.41196478864407,8.0371057081514,7.42993609246355,5.25159621883145,6.61557274232339,8.11451853057438,8.15634941644395,4.79520281771478,5.25907191389895,8.20042782803965,9.33909295142024,6.02678963964944,7.3701055152181,4.93679180014682,10.4772070364428,7.23396701112346,5.25159621883145,5.48704459527983,7.89210068647893,5.9560517780057,7.49917522575077,7.30330691611707,5.11726727720486,6.05228691254344,6.06338622869924,6.81028268408606,8.0463107485906,4.45048627909927,8.71411227104139,8.03630556658471,9.04155900036329,8.90898709826923,"0"
"25",3.77922840054267,6.8495136575712,4.1494886275249,7.06203184180485,6.09106655469711,6.76954565323303,5.48037659506056,8.13450788677879,6.41534552507929,4.52412915456569,3.71988803733078,4.55547890524658,5.56266411135138,7.5162416501539,6.06224293658838,9.89216364722649,7.00663596072406,6.85614407141451,8.17071077940352,4.39276235453893,4.66736593303319,3.93107456384875,5.72180774486673,5.46619142537856,7.07552488772512,4.28011464739343,6.62174184340831,10.0187672402525,7.61811854027576,8.38821399037576,11.2812737196109,4.40646181148781,4.59786840559098,7.62815843281432,6.88764702763262,7.54731962731517,6.04571179716871,5.63906786205652,9.06584221588782,4.15087958958872,5.0960728010578,6.7341400764434,7.77661010735003,4.60234807525675,4.98018220292396,4.5198185562313,8.73949517448447,6.65131078788538,5.91438264217801,8.24422114872335,6.93272956824811,4.5264856570986,5.94768077016031,7.78877998925837,7.32410204690826,5.50840970474344,4.62610032812932,6.909654717619,7.63290013805631,6.11555178659911,6.34234333153176,4.59596637911075,10.5083844223743,7.96297148507612,5.01842253796639,5.66395164212909,8.53356632449365,3.92523659315091,6.70619450993685,7.28784773038399,4.3088823086224,4.12027975957654,5.28999535954154,6.06520569624447,6.4071997117631,5.06939140782891,8.00928672732093,7.08224388217343,8.64489829638469,8.68355235062541,"0"
"26",3.66939170280249,6.94990266980832,4.36943272886622,7.66894002690637,5.57668719902236,7.08688146708264,5.64115976393057,9.0188258087937,5.52378342454805,4.55409457376534,4.06976467161394,4.52379074586875,4.92020388285411,8.14037152547563,5.71588326342157,9.65080334379571,6.20546237375577,7.14578232793737,8.53594428472929,5.13391066646125,4.29768207709141,4.05518024512036,6.73767269537066,6.88325446437758,7.14647157691926,4.03534634355939,7.19019390758007,10.261515598696,7.52248861717209,8.5604042877319,11.2318726129271,3.98307972865968,4.50701421178622,5.90657243918252,7.72407159738878,8.38593397900573,6.48693710783708,6.05108656369889,10.907891823802,3.46841591971386,5.3484360847103,7.60418880496982,7.22755740892682,4.95483596329372,4.97662162516557,6.20979969601515,9.2615067161184,5.6181564260006,6.071873490617,8.26271715306691,7.16449726328883,4.35717518468268,6.37072426058375,8.10633290909844,8.76853814322199,4.90500828916012,4.88768757039434,7.78654731244762,8.44129379566583,5.69098227621838,6.89882348042065,4.80233186315722,10.9485650516151,9.19750640303661,4.83424465639375,5.61274817826696,8.52369287662553,6.17191651783301,6.99084660819623,6.84831337761559,4.26027911831915,5.77587995055234,6.03616819610798,5.99785046090972,6.2637189701805,5.78960894354251,7.95257348296134,7.68569089400432,8.51354010595164,8.63632656624645,"0"
"27",3.3177460221922,6.89971761735766,4.54622483799074,6.64878533326157,5.62462915787014,6.98465352200566,5.36422439742513,8.24399757215954,6.5178131228603,5.02542580334985,3.98259473907347,4.6097232907476,5.2865300974111,7.49038548400008,6.30218718009699,9.59572367582686,6.61930671869884,7.12382451863257,7.6615307242511,5.07302233865611,4.24266205713529,3.58054620353407,5.27805271556241,4.92919060582254,7.13307435958415,4.35408111084119,6.63868458216625,10.5747698595999,7.45658439128938,8.93729881655438,11.0586082140039,3.83085517652725,4.13724585153074,6.68994283873076,7.15299978394634,7.52474733091403,6.22084289917361,5.98306857526619,11.0230572674745,3.71884008553264,5.61007063439249,7.14285161045142,7.25749416236187,4.93088705226661,4.99139150188453,4.06361940784087,8.84671331005769,5.89572477255295,5.67731255238726,7.96691998859991,6.69842374154792,4.27419549782737,6.50956089585785,7.75812222423224,6.5090256504275,5.07103850786869,4.43182375357118,6.9508289728172,8.58744989038146,5.91069079121643,6.40561970880463,5.10924070172555,10.3796473441206,6.2537718306888,4.83057392815309,5.69262458631997,8.33820941458714,3.84869858487239,7.28356587387325,6.86752353588012,4.1784315834879,3.84074487019449,5.31490970865284,5.79689175627405,5.83064445334368,5.30018449493006,7.87767097927603,7.36847998245595,8.32738053513298,8.71465823526276,"0"
